net,length_um
eFPGA_top_i.FrameData\[306\],385.39µm
eFPGA_top_i.FrameData\[339\],385.04µm
eFPGA_top_i.FrameData\[388\],384.45µm
eFPGA_top_i.FrameSelect\[188\],384.27µm
eFPGA_top_i.FrameData\[282\],383µm
net219,382.7µm
eFPGA_top_i.FrameData\[178\],380.34µm
eFPGA_top_i.FrameData\[194\],380.11µm
eFPGA_top_i.FrameData\[109\],379.89µm
eFPGA_top_i.FrameData\[226\],379.51µm
_0285_,379.065µm
eFPGA_top_i.FrameData\[46\],378.54µm
_0336_,377.79µm
eFPGA_top_i.FrameSelect\[129\],377.78µm
eFPGA_top_i.FrameData\[236\],377.73µm
_0430_,377.53µm
eFPGA_top_i.FrameData\[221\],377.06µm
net54,376.92µm
eFPGA_top_i.FrameData\[460\],376.75µm
eFPGA_top_i.FrameData\[206\],375.44µm
eFPGA_top_i.FrameData\[190\],375.43µm
net167,375.23µm
_0282_,374.865µm
eFPGA_top_i.FrameData\[409\],373.35µm
eFPGA_top_i.FrameData\[328\],373.08µm
_0266_,372.845µm
_0165_,372.26µm
eFPGA_top_i.FrameData\[64\],372.17µm
eFPGA_top_i.FrameSelect\[135\],371.8µm
eFPGA_top_i.FrameData\[61\],371.59µm
net186,371.24µm
eFPGA_top_i.FrameData\[107\],370.64µm
_0011_,370.545µm
eFPGA_top_i.FrameData\[434\],370.5µm
net125,369.78µm
eFPGA_top_i.FrameData\[258\],369.55µm
eFPGA_top_i.FrameData\[269\],369.08µm
eFPGA_top_i.FrameData\[304\],368.83µm
net134,367.68µm
eFPGA_top_i.FrameSelect\[131\],367.53µm
net46,367.38µm
eFPGA_top_i.FrameData\[91\],367.23µm
_0306_,366.975µm
eFPGA_top_i.FrameData\[474\],366.65µm
eFPGA_top_i.FrameData\[440\],366.57µm
eFPGA_top_i.FrameSelect\[63\],366.28µm
eFPGA_top_i.FrameData\[142\],366.2µm
_0478_,366.06µm
eFPGA_top_i.FrameData\[294\],365.69µm
eFPGA_top_i.FrameData\[360\],365.14µm
_0205_,364.905µm
eFPGA_top_i.FrameData\[355\],364.67µm
eFPGA_top_i.FrameData\[76\],364.65µm
eFPGA_top_i.FrameSelect\[137\],364.56µm
eFPGA_top_i.FrameData\[202\],363.27µm
eFPGA_top_i.FrameSelect\[61\],363.26µm
_0089_,361.84µm
eFPGA_top_i.FrameData\[431\],361.77µm
eFPGA_top_i.FrameData\[152\],361.75µm
_0169_,361.525µm
eFPGA_top_i.FrameData\[265\],361.19µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_A_I_top,360.51µm
_0249_,359.8µm
eFPGA_top_i.FrameData\[331\],359.72µm
_0092_,359.645µm
eFPGA_top_i.FrameSelect\[190\],359.27µm
net149,358.22µm
_0194_,358.045µm
_0047_,357.905µm
net93,357.44µm
eFPGA_top_i.FrameData\[390\],357.05µm
eFPGA_top_i.FrameData\[439\],356.77µm
eFPGA_top_i.FrameData\[101\],355.465µm
_0050_,355.195µm
eFPGA_top_i.FrameSelect\[16\],354.78µm
eFPGA_top_i.FrameData\[369\],354.69µm
eFPGA_top_i.FrameData\[62\],353.89µm
net59,352.76µm
_0230_,351.725µm
_0370_,351.485µm
eFPGA_top_i.FrameData\[132\],350.62µm
eFPGA_top_i.FrameData\[37\],350.29µm
_0441_,349.34µm
eFPGA_top_i.FrameData\[298\],348.45µm
_0040_,348.36µm
eFPGA_top_i.FrameData\[318\],348.29µm
_0070_,348.245µm
eFPGA_top_i.FrameData\[36\],347.73µm
eFPGA_top_i.FrameData\[95\],347.39µm
eFPGA_top_i.FrameData\[218\],346.96µm
